"SYMBOL","ORDER_NO","STATEMENT_DATE","SELLING_GENERAL_AND_ADMINIST","EXTRAORDINARY_ITEMS","GROSS_PROFIT","EFFECT_OF_ACCOUNTING_CHANGES","OTHER_ITEMS","TOTAL_OPERATING_EXPENSES","TOTAL_OTHER_INCOM_TO_EXPEN_NET","PREFER_STOCK_AND_OTHER_ADJUSTM","INCOME_TAX_EXPENSE","TOTAL_REVENUE","NET_INCOME","COST_OF_REVENUE","RESEARCH_DEVELOPMENT","OTHERS","OPERATING_INCOME_OR_LOSS","DISCONTINUED_OPERATIONS","EARNIN_BEFORE_INTERE_AND_TAXES","INCOME_BEFORE_TAX","MINORITY_INTEREST","NET_INCOM_APPLI_TO_COMMO_SHARE","NON_RECURRING","INTEREST_EXPENSE","NET_INCOME_FROM_CONTINUING_OPS"
"ABG",0,31-DEC-13,"625600","","876000","","","","-6800","","64200","5334900","109100","4458900","","24300","226100","8000","219300","165300","","109100","","54000","101100"
"ABG",1,31-DEC-14,"672600","","967200","","","","-31900","","71000","5867700","111600","4900500","","26400","268200","-400","236300","183000","","111600","","53300","112000"
"ABG",2,31-DEC-15,"729700","","1060800","","","","34900","","104000","6588300","169200","5527500","","29500","301600","-200","336500","273400","","169200","","63100","169400"
"ABIL",0,31-DEC-13,"8","","","","","","","","","","-8","","","","-8","","-8","-8","","-8","","","-8"
"ABIL",1,31-DEC-14,"617","","","","","","34","","","","-915","","","","-949","","-915","-915","","-915","332","","-915"
"ABIO",0,31-DEC-13,"4012","","","","","","5","-2026","","","-6939","","2928","","-6940","","-6935","-6939","","-8965","","4","-6939"
"ABIO",1,31-DEC-14,"4068","","","","","","7","","","","-9689","","5625","","-9693","","-9686","-9689","","-9689","","3","-9689"
"ABIO",2,31-DEC-15,"4392","","","","","","14","","","","-11445","","7063","","-11455","","-11441","-11445","","-11445","","4","-11445"
"ABM",0,31-OCT-13,"4294700","","4427800","","","","","","36100","4427800","72900","","","27800","105300","10300","111600","98700","","72900","","12900","62600"
"ABM",1,31-OCT-14,"4508700","","4649700","","","","","","43700","4649700","75600","","","26200","114800","8700","121300","110600","","75600","","10700","66900"
"ABM",2,31-OCT-15,"4800000","","4897800","","","","","","18300","4897800","76300","","","24200","73600","22200","82600","72400","","76300","","10200","54100"
"ABMD",0,31-MAR-14,"107251","","146321","","","","167","","1179","183643","7351","37322","30707","","8363","","8530","8530","","7351","","","7351"
"ABMD",1,31-MAR-15,"125727","","190366","","","","99","","-84923","230311","113688","39945","35973","","28666","","28765","28765","","113688","","","113688"
"ABMD",2,31-MAR-16,"164261","","279124","","","","734","","27691","329543","38147","50419","49759","","65104","","65838","65838","","38147","","","38147"
"ABR",0,31-DEC-13,"22646","","-5210","","","","99675","-4507","","32418","21175","37628","","7251","-36106","","58638","16572","","16668","1000","42065","21175"
"ABR",1,31-DEC-14,"23578","","-3471","","","","89581","-7256","","34287","93048","37757","","7372","-34671","","54910","7006","","85792","250","47903","93048"
"ABR",2,31-DEC-15,"30026","","-6201","","","","132512","-7554","","27937","53429","34138","","5436","-41664","","90848","41128","","45875","","49720","53429"
"ABT",0,31-DEC-13,"6372000","","10464000","","","","53000","","53000","19657000","2576000","9193000","1371000","588000","2133000","588000","2186000","2041000","96000","2576000","","145000","1988000"
"ABT",1,31-DEC-14,"6530000","","11029000","","","","69000","","797000","20247000","2284000","9218000","1345000","555000","2599000","563000","2668000","2518000","113000","2284000","","150000","1721000"
"ABT",2,31-DEC-15,"6785000","","11658000","","","","479000","","577000","20405000","4423000","8747000","1405000","601000","2867000","1817000","3346000","3183000","115000","4423000","","163000","2606000"
"ABTL",0,31-DEC-13,"26469","","30446","","","","","","-35064","78361","38144","47915","","1450","2843","","3080","3080","","38144","-316","","38144"
"ABTL",1,31-DEC-14,"33956","","41813","","","","","","2037","106278","3411","64465","","1858","6142","","5448","5448","","3411","-143","","3411"
"ABTL",2,31-DEC-15,"40885","","51640","","","","","","3433","133226","4646","81586","","3106","7757","","8079","8079","","4646","-108","","4646"
"ABTX",0,31-DEC-13,"23748","","","","","","","","3853","39977","6839","4432","","1090","","","10707","10692","","6839","","15","6839"
"ABTX",1,31-DEC-14,"32076","","","","","","","","4828","55012","9005","5342","","3532","","","14062","13833","","9005","","229","9005"
"ABTX",2,31-DEC-15,"52361","","","","","","","-559","7775","92798","15786","7273","","8236","","","24928","23561","","15227","","1367","15786"
"ABUS",0,31-DEC-13,"5546","","15465","","","","-1911","","","15465","-14063","","21458","613","-12152","","-14063","-14063","","-14063","","","-14063"
"ABUS",1,31-DEC-14,"8683","","14953","","","48387","-5403","","","14953","-38837","","38713","529","-33434","","-38837","-38837","","-38837","462","","-38837"
"ABUS",2,31-DEC-15,"26438","","24873","","","127195","25016","","-16185","24873","-61121","","51505","589","-102322","","-77306","-77306","","-61121","48663","","-61121"
"ABX",0,31-DEC-13,"546000","","5198000","","","","-95000","","630000","12527000","-10603000","7329000","","","-8715000","-506000","-8819000","-9467000","2468000","-10603000","13367000","657000","-10097000"
"ABX",1,31-DEC-14,"454000","","3409000","","","","-314000","","306000","10239000","-2959000","6830000","","","-1543000","","-1868000","-2653000","2615000","-2959000","4498000","796000","-2959000"
"ABX",2,31-DEC-15,"123000","","2122000","","","","-145000","","-31000","9029000","-3113000","6907000","","","-2253000","","-2418000","-3144000","2277000","-3113000","4252000","739000","-3120000"
"ABY",0,31-DEC-13,"46206","","204735","","","","-1435","","-11762","210907","-3417","6172","","46943","111586","","110164","-13620","69279","-3417","","123784","-3404"
"ABY",1,31-DEC-14,"54408","","353231","","","","12826","","4413","362693","-31612","9462","","125480","173343","","185400","-24852","88029","-31612","","210252","-32381"
"ABY",2,31-DEC-15,"161819","","767638","","","","-192837","","23790","790881","-209005","23243","","261301","344518","","159525","-174396","140899","-209005","","333921","-201161"
"AC",0,31-DEC-14,"30953","","19653","","","","10918","","775","19653","3000","","","","-11300","","994","-382","","3000","6771","1376","3000"
"AC",1,31-DEC-15,"37154","","21582","","","","12996","","-1685","21582","-111","","","","-15572","","-1316","-2576","2353","-111","6189","1260","-111"
"ACAD",0,31-DEC-13,"12720","","1145","","","","349","","","1145","-37948","","26722","","-38297","","-37948","-37948","","-37948","","","-37948"
"ACAD",1,31-DEC-14,"32748","","120","","","","755","","","120","-92475","","60602","","-93230","","-92475","-92475","","-92475","","","-92475"
"ACAD",2,31-DEC-15,"90804","","61","","","","499","","330","61","-164443","","73869","","-164612","","-164113","-164113","","-164443","","","-164443"
"ACAS",0,31-DEC-13,"211000","","443000","","","","28000","","76000","443000","184000","","","","232000","","304000","260000","","184000","","44000","184000"
"ACAS",1,31-DEC-14,"234000","","417000","","","","317000","","66000","417000","434000","","","","183000","","554000","500000","","434000","5000","54000","434000"
"ACAS",2,31-DEC-15,"214000","","592000","","","","-440000","","125000","592000","-187000","","","","378000","","17000","-62000","","-187000","13000","79000","-187000"
"ACAT",0,31-MAR-14,"66585","","151079","","","","30","","21000","730491","39404","579412","23998","","60496","","60526","60404","","39404","","122","39404"
"ACAT",1,31-MAR-15,"88570","","119449","","","","25","","1290","698756","4920","579307","24341","","6538","","6563","6210","","4920","","353","4920"
"ACAT",2,31-MAR-16,"79719","","90667","","","","15","","-7860","632895","-9187","542228","27162","","-16214","","-16199","-17047","","-9187","","848","-9187"
"ACBI",0,31-DEC-14,"26574","","","","","","","","3857","41884","7516","2889","","488","","","11933","11373","","7516","","560","7516"
"ACBI",1,31-DEC-15,"36779","","","","","","","","794","58366","-1319","3618","","8035","","","780","-525","","-1319","9154","1305","-1319"
"ACC",0,31-DEC-13,"16541","","333282","","","","339","","1020","657462","104644","324180","","184988","131753","59755","132092","48456","5664","104644","","83636","47436"
"ACC",1,31-DEC-14,"18681","","373605","","","","3986","","1308","733915","62839","360310","","197495","154986","2720","158972","62692","5729","62839","2443","96280","61384"
"ACC",2,31-DEC-15,"20838","","386530","","","","55738","","1242","753381","115991","366851","","208788","156904","","212642","119303","11461","115991","","93339","118061"
"ACCO",0,31-DEC-13,"347300","","547900","","","","-3300","","14400","1765100","77100","1217200","","24700","145800","-200","150700","91700","","77100","30100","59000","77300"
"ACCO",1,31-DEC-14,"328600","","529900","","","","4800","","45400","1689200","91600","1159300","","22200","173600","","186500","137000","","91600","5500","49500","91600"
"ACCO",2,31-DEC-15,"295700","","478400","","","","4500","","45500","1510400","85900","1032000","","19600","163500","","175900","131400","","85900","-400","44500","85900"
"ACET",0,30-JUN-13,"61021","","98271","","","","2256","","12222","499690","22328","401419","2834","","34416","","36672","34550","","22328","","2122","22328"
"ACET",1,30-JUN-14,"65209","","114703","","","","2502","","15674","510179","29000","395476","5222","","44272","","46774","44674","","29000","","2100","29000"
"ACET",2,30-JUN-15,"73159","","135434","","","","1486","","20382","546951","33483","411517","5942","","56333","","57819","53865","","33483","","3954","33483"
"ACFC",0,31-DEC-13,"26849","","","","","","","","","35164","-11406","3308","","7026","","","-2019","-11406","","-11406","","9387","-11406"
"ACFC",1,31-DEC-14,"21469","","","","","","","","","34574","1327","2489","","1266","","","9350","1327","","1327","","8023","1327"
"ACFC",2,31-DEC-15,"28942","","","","","","","","-9507","36646","7718","2426","","807","","","4471","-1789","","7718","","6260","7718"
"A",0,31-OCT-13,"1184000","","1907000","","","","14000","","68000","3894000","734000","1987000","337000","","386000","509000","400000","293000","3000","734000","","107000","225000"
"A",1,31-OCT-14,"1199000","","1976000","","","","-80000","","-3000","4048000","549000","2072000","358000","","419000","317000","339000","229000","3000","549000","","110000","232000"
"A",2,31-OCT-15,"1189000","","2041000","","","","24000","","42000","4038000","401000","1997000","330000","","522000","-37000","546000","480000","3000","401000","","66000","438000"
"AA",0,31-DEC-13,"1008000","","3746000","","","5134000","25000","","428000","23032000","-2285000","19286000","192000","1421000","-1388000","","-1363000","-1816000","2929000","-2285000","2513000","453000","-2285000"
"AA",1,31-DEC-14,"995000","","4769000","","","3752000","-47000","","320000","23906000","268000","19137000","218000","1371000","1017000","","970000","497000","2488000","268000","1168000","473000","268000"
"AA",2,31-DEC-15,"979000","","4465000","","","3717000","-2000","","445000","22534000","-322000","18069000","238000","1280000","748000","","746000","248000","2085000","-322000","1220000","498000","-322000"
"AAAP",0,31-DEC-13,"50891","","61486","","","","533","","1594","74143","-17612","12657","","13153","-2557","","-2024","-16017","1874","-17612","","13993","-17612"
"AAAP",1,31-DEC-14,"62770","","66877","","","","479","","489","84540","-13072","17663","","14512","-10405","","-9926","-12583","","-13072","","2657","-13072"
"AAAP",2,31-DEC-15,"74405","","76346","","","","1256","","838","96263","-18468","19917","","12298","-10357","","-9101","-17631","","-18468","","8530","-18468"
"AAC",0,31-DEC-13,"94861","","115741","","","","-36","1000","615","115741","786","","","3003","3533","","3497","2107","3700","1786","14344","1390","786"
"AAC",1,31-DEC-14,"104883","","132968","","","","93","-693","2555","132968","7548","","","4662","10700","","10793","8921","-2333","6855","12723","1872","7548"
"AAC",2,31-DEC-15,"166303","","212261","","","","2500","-681","4780","212261","11174","","","7837","14228","","16728","13121","-5166","10493","23893","3607","11174"
"AAL",0,31-DEC-13,"12913000","","15724000","","","","-2723000","","-346000","26743000","-1834000","11019000","","853000","1399000","","-1324000","-2180000","","-1834000","559000","856000","-4489000"
"AAL",1,31-DEC-14,"20686000","","27030000","","","","-150000","","330000","42650000","2882000","15620000","","1295000","4249000","","4099000","3212000","","2882000","800000","887000","2882000"
"AAL",2,31-DEC-15,"21275000","","29894000","","","","-708000","","-2994000","40990000","7610000","11096000","","1364000","6204000","","5496000","4616000","","7610000","1051000","880000","7610000"
"AAMC",0,31-DEC-13,"30927","","-731","","","","72261","","","36","-5293","767","","25","-33390","","38871","34303","785427","-5293","1707","4568","-5293"
"AAMC",1,31-DEC-14,"90973","","-24454","","","","427141","","2096","1564","59679","26018","","1067","-140866","","286275","250628","1326911","59679","24372","35647","59679"
"AAMC",2,31-DEC-15,"95242","","-53033","","","","234866","","354","13233","-3290","66266","","7472","-230269","","4597","-48534","1145639","-3290","74522","53131","-3290"
"AAME",0,31-DEC-13,"","","24441","","","","","-482","184","165369","11022","140928","","11337","11206","","13104","11206","","10540","","1898","11022"
"AAME",1,31-DEC-14,"","","19203","","","","","-468","474","166321","4430","147118","","12692","4904","","6511","4904","","3962","","1607","4430"
"AAME",2,31-DEC-15,"","","21338","","","","","-399","1320","165937","4388","144599","","14201","5708","","7137","5708","","3989","","1429","4388"
"AAN",0,31-DEC-13,"6501","","850048","","","","3515","","64294","2234631","120666","1384583","","628089","187058","","190573","184960","","120666","28400","5613","120666"
"AAN",1,31-DEC-14,"14556","","1108634","","","","1076","","43471","2695033","78233","1586399","","932634","139843","","140919","121704","","78233","21601","19215","78233"
"AAN",2,31-DEC-15,"1324","","1449909","","","","518","","77411","3179756","135709","1729847","","1212644","235941","","236459","213120","","135709","","23339","135709"
"AAOI",0,31-DEC-13,"14823","","23028","","","","26","","","78424","-1406","55396","8512","","-307","","-281","-1406","","-1406","","1125","-1406"
"AAOI",1,31-DEC-14,"23138","","44246","","","","-330","","199","130449","4283","86203","15970","","5138","","4808","4482","","4283","","326","4283"
"AAOI",2,31-DEC-15,"26152","","60453","","","","-1263","","375","189903","10793","129450","20852","","13449","","12186","11168","","10793","","1018","10793"
"AAON",0,31-DEC-13,"33989","","89792","","","","491","","18747","321140","37547","231348","","","55825","","56294","56294","","37547","","","37547"
"AAON",1,31-DEC-14,"40562","","108263","","","","545","","24088","356322","44158","248059","","","68006","","68246","68246","","44158","","","44158"
"AAON",2,31-DEC-15,"37438","","108681","","","","96","","25611","358632","45728","249951","","","71302","","71339","71339","","45728","","","45728"
"AAP",0,28-DEC-13,"2591828","","3252146","","","","2698","","234640","6493814","391758","3241668","","","660318","","663016","626398","","391758","","36618","391758"
"AAP",1,03-JAN-15,"3601903","","4453613","","","","3092","","287569","9843861","493825","5390248","","","851710","","854802","781394","","493825","","73408","493825"
"AAP",2,02-JAN-16,"3596992","","4422772","","","","-7484","","279490","9737018","473398","5314246","","","825780","","818296","752888","","473398","","65408","473398"
"AAPC",0,31-DEC-15,"","","-272","","","","46","","","","-226","272","","","-272","","-226","-226","","-226","","","-226"
"AAPL",0,28-SEP-13,"10830000","","64304000","","","","1156000","","13118000","170910000","37037000","106606000","4475000","","48999000","","50155000","50155000","","37037000","","","37037000"
"AAPL",1,27-SEP-14,"11993000","","70537000","","","","980000","","13973000","182795000","39510000","112258000","6041000","","52503000","","53483000","53483000","","39510000","","","39510000"
"AAPL",2,26-SEP-15,"14329000","","93626000","","","","1285000","","19121000","233715000","53394000","140089000","8067000","","71230000","","72515000","72515000","","53394000","","","53394000"
"AAT",0,31-DEC-13,"17195","","165071","","","","-487","","","255057","15220","89986","","66775","81101","","80614","22594","38067","15220","","58020","15220"
"AAT",1,31-DEC-14,"18532","","168769","","","","441","","","260000","21756","91231","","66568","83669","","84110","31145","31273","21756","","52965","21756"
"AAT",2,31-DEC-15,"20074","","177617","","","","7024","","","275623","38509","98006","","63392","94151","","101175","53915","29365","38509","","47260","38509"
"AAU",0,31-DEC-13,"3061","","52","","","","-1188","","","52","-5983","","","","-4024","","-5983","-5983","","-5983","1015","","-6753"
"AAU",1,31-DEC-14,"2590","","67","","","","-5978","","1588","67","-12936","","","","-5253","","-11347","-11347","","-12936","2731","","-13052"
"AAU",2,31-DEC-15,"2731","","166","","","","1901","","-291","166","-824","","","","-2947","","-1115","-1115","","-824","381","","-893"
"AAV",0,31-DEC-13,"22989","","105450","","","","-6747","","-1527","124759","-3183","19308","","67896","14565","4626","7817","-9336","122145","-3183","","17153","-7809"
"AAV",1,31-DEC-14,"8270","","164183","","","","21333","","26240","177489","13558","13306","","73784","82083","-50847","103416","90645","","13558","46","12771","64405"
"AAV",2,31-DEC-15,"7609","","77832","","","","22163","","5581","91047","15390","13215","","62912","7312","","29474","20971","","15390","","8503","15390"
"AAWW",0,31-DEC-13,"467752","","759924","","","","11990","","23833","1656900","88319","896976","","86389","186790","","199131","117822","4352","93837","18642","81309","88319"
"AAWW",1,31-DEC-14,"506462","","833020","","","","2697","","-12678","1799198","106757","966178","","120793","175972","","193348","89549","","106757","15114","103799","106757"
"AAWW",2,31-DEC-15,"688200","","959371","","","","-46534","","-24506","1822659","-62442","863288","","128740","123505","","78509","-17220","","7286","17388","95729","-62442"
"AB",0,31-DEC-13,"","","","","","","","","20410","","165502","","","","","","","","","165502","","","165502"
"AB",1,31-DEC-14,"","","","","","","","","22463","","180814","","","","","","","","","180814","","","180814"
"AB",2,31-DEC-15,"","","","","","","","","24320","","188178","","","","","","","","","188178","","","188178"
"ABAC",0,31-DEC-13,"3800","","3021","","","","-1567","","","33351","-2684","30330","","","-779","","-2346","-2684","438","-2044","","339","-2684"
"ABAC",1,31-DEC-14,"3764","","5607","","","","1270","","","38533","4715","32926","","","1843","2062","2653","2653","1652","4683","","","2653"
"ABAC",2,31-DEC-15,"5063","","8697","","","","-755","","","37368","4436","28671","","","3634","1454","2982","2982","1356","4490","","","2982"
"ABAX",0,31-MAR-14,"46075","","83950","","","","","","8993","162031","14185","78081","13647","","24228","-2044","25222","25222","","14185","","","16229"
"ABAX",1,31-MAR-15,"58339","","108970","","","","","","12239","202593","27331","93623","16327","","34304","6528","33042","33042","","27331","","","20803"
"ABAX",2,31-MAR-16,"58510","","123252","","","","","","16073","218901","31630","95649","18388","","46354","556","47147","47147","","31630","","","31074"
"ABB",0,31-DEC-13,"6135000","","11992000","","","","69000","","1122000","41848000","2787000","29856000","1470000","","4387000","-37000","4456000","4066000","530000","2787000","","390000","2944000"
"ABB",1,31-DEC-14,"5538000","","11215000","","","","80000","","1202000","39830000","2594000","28615000","1499000","","4178000","24000","4258000","3896000","546000","2594000","","362000","2694000"
"ABB",2,31-DEC-15,"5679000","","10134000","","","","77000","","788000","35481000","1933000","25347000","1406000","","3049000","3000","3126000","2840000","507000","1933000","","286000","2052000"
"ABBV",0,31-DEC-13,"5352000","","14209000","","","","-54000","","1204000","18790000","4128000","4581000","2855000","","5664000","","5610000","5332000","","4128000","338000","278000","4128000"
"ABBV",1,31-DEC-14,"8474000","","15534000","","","","-651000","","595000","19960000","1774000","4426000","3297000","","3411000","","2760000","2369000","","1774000","352000","391000","1774000"
"ABBV",2,31-DEC-15,"6387000","","18359000","","","","-206000","","1501000","22859000","5144000","4500000","4285000","","7537000","","7331000","6645000","","5144000","150000","686000","5144000"
"ABC",0,30-SEP-13,"1447234","","2507819","","","","-44","","331023","87959167","433707","85451348","","162186","898399","-59728","898355","824458","","433707","","73897","493435"
"ABC",1,30-SEP-14,"2018192","","2982366","","","","-28594","","389398","119569127","276484","116586761","","185290","778884","-7546","750290","673428","","276484","","76862","284030"
"ABC",2,30-SEP-15,"2868663","","3529313","","","","-44220","","409036","135961803","-134887","132432490","","243280","417370","","373150","274149","","-134887","","99001","-134887"
"ABCB",0,31-DEC-13,"116181","","","","","","","-1738","9285","172871","20018","8400","","12900","","","31040","29303","","18280","4350","1737","20018"
"ABCB",1,31-DEC-14,"144599","","","","","","","-286","17482","227402","38723","9488","","7978","","","61397","56205","","38437","3940","5192","38723"
"ABCB",2,31-DEC-15,"187394","","","","","","","","15897","275979","40847","9752","","9005","","","61848","56744","","40847","7980","5104","40847"
"ABCD",0,31-DEC-13,"65414","","86313","","","82346","955","","165","150520","-14253","64207","9810","4895","3967","","4922","-14088","","-14253","2227","19010","-14253"
"ABCD",1,31-DEC-14,"62257","","85603","","","","262","","600","141747","-9955","56144","11091","4209","8046","","8308","-9355","","-9955","","17663","-10877"
"ABCD",2,31-DEC-15,"65242","","96220","","","","-3324","","193","144920","-1325","48700","10924","3868","16186","","12862","-1132","","-1325","","13994","-5341"
"ABCO",0,31-MAR-13,"147449","","213232","","","","2604","","18023","450837","23300","237605","","20308","45475","","48079","48079","-108","23408","","","23300"
"ABCO",1,31-MAR-14,"170467","","247506","","","","2706","","18737","519429","23992","271923","","31084","45955","","48661","48661","-227","23992","","","23992"
"ABCO",2,31-DEC-15,"249627","","375672","","","","-23897","","15200","768348","-119014","392676","","73134","-54400","","-78297","-99418","","-119014","107311","21121","-119014"
"ABEO",0,31-DEC-13,"4834","","1917","","","","8532","-2898","","2042","4449","125","884","3","-3804","","4728","4449","","1551","","279","4449"
"ABEO",1,31-DEC-14,"3712","","925","","","","-23065","-2875","","925","-26778","","333","11","-3131","","-26196","-26778","","-29653","","582","-26778"
"ABEO",2,31-DEC-15,"14320","","1040","","","","4026","","","1040","-14526","","4715","551","-18546","","-14520","-14526","","-14526","","6","-14526"
"ABEV",0,31-DEC-13,"3423000","","9963600","","","","395700","","1051800","14868800","4831800","4905200","","","6540600","","6941100","5883600","522300","4831800","","1057500","4836600"
"ABEV",1,31-DEC-14,"3550700","","9504600","","","","441400","","754900","14325400","4650500","4820800","","","5953900","","6401800","5405400","535400","4650500","","996400","4657100"
"ABEV",2,31-DEC-15,"3002900","","7749500","","","","327100","","918600","11809200","3255400","4059800","","","4746500","","5074400","4174000","506000","3255400","","900400","3256200"
"ACGL",0,31-DEC-13,"","","1282630","","","","-12335","-21938","32774","3526157","709731","2243527","","500730","742505","","769565","742505","","687793","","27060","709731"
"ACGL",1,31-DEC-14,"","","1412361","","","","83744","-21938","22987","3988873","834355","2576512","","606224","844247","","889881","844247","769081","812417","","45634","821260"
"ACGL",2,31-DEC-15,"","","1204211","","","","66118","-21938","40612","3936590","537738","2732379","","657261","567194","","613068","567194","738831","515800","","45874","526582"
"ACH",0,31-DEC-13,"-558107","","462267","","","","101848","","56088","28030493","125996","27568226","31983","","905608","34217","1116578","147867","1543533","125996","82783","968711","91779"
"ACH",1,31-DEC-14,"873710","","108136","","","","168860","","173261","22888432","-2746732","22780296","47351","","-1728386","","-1488591","-2573471","1829973","-2746732","915461","1084880","-2746732"
"ACH",2,31-DEC-15,"-413207","","387887","","","","125059","","-35484","19010391","65251","18622503","26005","","773547","","946002","29767","1764405","65251","1542","916235","65251"
"ACHC",0,31-DEC-13,"535754","","675839","","","","-16500","","25975","713408","42579","37569","","17090","122995","-691","106495","69245","","42579","","37250","43270"
"ACHC",1,31-DEC-14,"750749","","956179","","","","1612","","42922","1004601","83040","48422","","32667","172763","-192","174375","126154","","83040","","48221","83232"
"ACHC",2,31-DEC-15,"1329469","","1713829","","","","-49315","","53388","1794492","112554","80663","","63550","320810","111","271495","164753","","112554","","106742","111365"
"ACHN",0,31-DEC-13,"12741","","","","","","582","","","","-58947","","46736","","-59477","","-58895","-58947","","-58947","","52","-58947"
"ACHN",1,31-DEC-14,"15911","","","","","","455","","","","-69008","","53515","","-69426","","-68971","-69008","","-69008","","37","-69008"
"ACHN",2,31-DEC-15,"24676","","66122","","","","10132","","","66122","-5030","","56553","","-15107","","-4975","-5030","","-5030","","55","-5030"
"ACIW",0,31-DEC-13,"199128","","521089","","","","-2668","","29291","864928","63868","343839","142557","56356","123048","","120380","93159","","63868","","27221","63868"
"ACIW",1,31-DEC-14,"207112","","561393","","","","335","","31209","1016149","67560","454756","144207","71902","138172","","138507","98769","","67560","","39738","67560"
"ACIW",2,31-DEC-15,"216826","","573678","","","","26797","","27937","1045977","85436","472299","145924","82980","127948","","154745","113373","","85436","","41372","85436"
"ACLS",0,31-DEC-13,"46630","","67935","","","","138","","1040","195632","-17144","127697","34756","","-14618","","-15647","-16104","","-17144","2334","457","-17144"
"ACLS",1,31-DEC-14,"44671","","70164","","","","1563","","1099","203051","-11266","132887","33533","","-10661","","-9098","-10167","","-11266","2621","1069","-11266"
"ACLS",2,31-DEC-15,"48384","","101706","","","","-537","","527","301495","14678","199789","32586","","20718","","20181","15205","","14678","18","4976","14678"
"ACM",0,30-SEP-13,"97318","","449988","","","","3522","","92578","8153495","239243","7703507","","","376989","","380511","335774","52651","239243","","44737","263562"
"ACM",1,30-SEP-14,"80908","","403176","","","","2748","","82024","8356783","229854","7953607","","","352882","","355630","314788","85963","229854","27310","40842","287778"
"ACM",2,30-SEP-15,"113975","","535188","","","","19139","","-80237","17989880","-154845","17454692","","","129018","","148157","-151470","223195","-154845","398440","299627","-48600"
"ACN",0,31-AUG-13,"5317537","","9384175","","","","14649","","784775","30394285","3281878","21010110","","","4338680","","4353329","4339294","467643","3281878","-272042","14035","3281878"
"ACN",1,31-AUG-14,"5401969","","9684466","","","","14810","","1121743","31874678","2941498","22190212","","","4300512","","4315322","4297701","553302","2941498","-18015","17621","2941498"
"ACN",2,31-AUG-15,"5373370","","9809239","","","","-10761","","1136741","32914424","3053581","23105185","","","4435869","","4425108","4410530","513846","3053581","","14578","3053581"
"ACNB",0,31-DEC-13,"31374","","","","","","","","2535","49304","9315","2177","","2091","","","13662","11850","","9315","","1812","9315"
"ACNB",1,31-DEC-14,"31615","","","","","","","","3080","49430","10290","1810","","799","","","15206","13370","","10290","","1836","10290"
"ACNB",2,31-DEC-15,"32898","","","","","","","","3761","51870","11017","2120","","336","","","16516","14778","","11017","","1738","11017"
"ADSK",0,31-JAN-14,"1054400","","1999600","","","1714800","","","51100","2273900","228800","274300","611100","36500","284800","","284800","279900","","228800","12800","4900","228800"
"ADSK",1,31-JAN-15,"1281300","","2170100","","","2049400","","","1200","2512200","81800","342100","725200","39800","120700","","120700","83000","","81800","3100","37700","81800"
"ADSK",2,31-JAN-16,"1308900","","2133400","","","","","","310200","2504100","-330500","370700","790000","33200","1300","","1300","-20300","","-330500","","21600","-330500"
"ADTN",0,31-DEC-13,"129366","","308886","","","","14715","","15061","641744","45794","332858","131055","","48465","","63180","60855","","45794","","2325","45794"
"ADTN",1,31-DEC-14,"131958","","311327","","","","13472","","15286","630007","44620","318680","132258","","47111","","60583","59906","","44620","","677","44620"
"ADTN",2,31-DEC-15,"123542","","266897","","","","12825","","7062","600064","18646","333167","129876","","13479","","26304","25708","","18646","","596","18646"
"ADUS",0,31-DEC-13,"50118","","67739","","","","188","","3812","265941","19145","198202","","2160","15461","7982","15649","14975","","19145","","674","11163"
"ADUS",1,31-DEC-14,"61834","","83735","","","","18","","5428","312942","12243","229207","","3830","18071","280","18089","17391","","12243","","698","11963"
"ADUS",2,31-DEC-15,"70582","","91323","","","","47","","3932","336815","11623","245492","","4717","16024","270","16071","15285","","11623","","786","11353"
"ADVM",0,31-DEC-13,"1783","","480","","","","-1749","","","480","-5276","","2151","","-3454","","-5203","-5276","","-5276","","73","-5276"
"ADVM",1,31-DEC-14,"7998","","572","","","","-984","-3230","","572","-25404","","16976","","-24402","","-25386","-25404","","-28634","","18","-25404"
"ADVM",2,31-DEC-15,"22107","","2319","","","","370","","","2319","-47453","","25462","","-47823","","-47453","-47453","","-47453","2573","","-47453"
"ADX",0,31-DEC-06,"2309","","180833","","","","","","","185065","178524","4232","","","178524","","19691","19691","","178524","","","178524"
"ADX",1,31-DEC-07,"2516","","91596","","","","-8457","","","92552","77854","956","2769","","86311","","25885","25885","","77854","","","77854"
"ADX",2,31-DEC-08,"4544","","58594","","","","-526492","","","59627","-472442","1033","","","54050","","21085","21085","","-472442","","","-472442"
"ADXS",0,31-OCT-13,"9072","","","","","","-5031","-555","-725","","-19987","","5622","","-14694","","-19724","-20712","","-20542","","988","-19987"
"ADXS",1,31-OCT-14,"11851","","1000","","","","656","","-2357","1000","-16525","","8687","","-19539","","-18882","-18882","","-16525","","","-16525"
"ADXS",2,31-OCT-15,"24450","","","","","","30","","-1609","","-47031","","24221","","-48671","","-48640","-48640","","-47031","","","-47031"
"AE",0,31-DEC-13,"9060","","65711","","","","198","","12429","3945969","21610","3880258","","22275","34376","-511","34574","34550","","21610","","24","22121"
"AE",1,31-DEC-14,"8613","","40181","","","","2829","","3561","4132826","6523","4092645","","24615","9481","304","9782","9780","","6523","","2","6219"
